time,value
2024-07-16T00:49:46.792005344Z,{"lat":10.834500362820249,"lon":106.76695399682218}
2024-07-16T00:49:47.812440105Z,{"lat":10.834502206427569,"lon":106.7669549038871}
2024-07-16T00:49:48.843819289Z,{"lat":10.834501411425837,"lon":106.76695550014362}
2024-07-16T00:49:49.842534592Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:49:50.861929905Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:49:51.872007417Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:49:52.892362457Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:49:53.90222772Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:49:54.922531366Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:49:55.917592055Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:49:56.95231525Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:49:57.962096999Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:49:58.966996821Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:00.00188688Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:01.015759425Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:02.035102108Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:03.045840558Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:04.062525001Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:05.072261686Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:06.100037048Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:07.112062764Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:08.132865483Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:09.150000726Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:10.152338935Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:11.172119653Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:12.192523916Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:13.201681004Z,{"lat":10.834503104525664,"lon":106.76694992098058}
